"activity_guid","activity_type","activity_label","status_code","status_date","activity_date","exclusivity","state_info","error_code","error_message","is_canceled","is_expired","retries","postponed_to","started_on","finished_on","_created_by","_updated_by","created_on","_created_user_id","updated_on","_updated_user_id","_created_timstm","attributes"
"995bc3bf-5463-4a6a-bcc0-cd80b308daef",report.smartcharge.optOuts,,succeeded,2022-07-12 00:05:45.613 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-12T19:00:00-04:00"", ""from"": ""2022-07-11T17:00:00-04:00"", ""params"": {""vehicleId"": ""4ea243b9-2023-4886-8fab-8f042d7ed17f"", ""utilityCode"": ""nationalgrid""}, ""isPlugged"": false, ""vehicleId"": ""4ea243b9-2023-4886-8fab-8f042d7ed17f"", ""vehicleVIN"": ""1G1FY6S02K4132037"", ""utilityCode"": ""nationalgrid"", ""enrollmentId"": ""a01876e2-3c01-4d8c-ba4d-78f19712066b"", ""chargerStatus"": ""unknown"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-12 00:05:45.613 +0300,2022-07-12 00:05:45.613 +0300,,,2022-07-12 00:05:45.613 +0300,si_nam_177135_p,2022-07-12 00:05:45.613 +0300,si_nam_177135_p,2022-07-12 00:05:45.613 +0300,"[4ea243b9-2023-4886-8fab-8f042d7ed17f, null, nationalgrid]"
"0c22be7e-2fe4-4c67-b668-d3a601ce022a",report.smartcharge.optOuts,,succeeded,2022-07-12 00:03:53.269 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-12T19:00:00-04:00"", ""from"": ""2022-07-11T17:00:00-04:00"", ""params"": {""vehicleId"": ""f9ab64f4-5f12-4038-89d3-bd4acd631e06"", ""utilityCode"": ""nationalgrid""}, ""isPlugged"": false, ""vehicleId"": ""f9ab64f4-5f12-4038-89d3-bd4acd631e06"", ""vehicleVIN"": ""1G1RC6S58HU214838"", ""utilityCode"": ""nationalgrid"", ""enrollmentId"": ""4d0a8f39-aeb2-4f87-89c1-8f77251e2fb2"", ""chargerStatus"": ""unknown"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-12 00:03:53.269 +0300,2022-07-12 00:03:53.269 +0300,,,2022-07-12 00:03:53.269 +0300,si_nam_177135_p,2022-07-12 00:03:53.269 +0300,si_nam_177135_p,2022-07-12 00:03:53.269 +0300,"[f9ab64f4-5f12-4038-89d3-bd4acd631e06, null, nationalgrid]"
"1a1ffb24-f619-4868-9644-f22c886233d7",report.smartcharge.optOuts,,succeeded,2022-07-11 20:55:44.205 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-12T11:00:44.188-04:00"", ""from"": ""2022-07-11T13:55:44.167-04:00"", ""params"": {""vehicleId"": ""fff5d717-ff00-430f-99b5-6578cc3ecb67"", ""utilityCode"": ""xcel""}, ""isPlugged"": true, ""vehicleId"": ""fff5d717-ff00-430f-99b5-6578cc3ecb67"", ""vehicleVIN"": ""1G1FZ6S05N4117601"", ""utilityCode"": ""xcel"", ""enrollmentId"": ""9397ce59-9e47-4f7e-a0b5-8170ef50b1bf"", ""chargerStatus"": ""plugged"", ""chargingState"": ""charging"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 20:55:44.205 +0300,2022-07-11 20:55:44.205 +0300,,,2022-07-11 20:55:44.205 +0300,si_nam_177135_p,2022-07-11 20:55:44.205 +0300,si_nam_177135_p,2022-07-11 20:55:44.205 +0300,"[fff5d717-ff00-430f-99b5-6578cc3ecb67, null, xcel]"
"76063114-eaba-4a48-ba74-4e79596b049a",report.smartcharge.optOuts,,succeeded,2022-07-11 18:50:29.174 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-12T07:00:29.165-04:00"", ""from"": ""2022-07-11T11:50:29.149-04:00"", ""params"": {""vehicleId"": ""0bc2f5be-4456-46df-904a-ed0baf319a3d"", ""utilityCode"": ""xcel""}, ""isPlugged"": true, ""vehicleId"": ""0bc2f5be-4456-46df-904a-ed0baf319a3d"", ""vehicleVIN"": ""1G1RA6S54KU131369"", ""utilityCode"": ""xcel"", ""enrollmentId"": ""0511d43a-5392-4dd5-a658-68defeeca985"", ""chargerStatus"": ""plugged"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 18:50:29.174 +0300,2022-07-11 18:50:29.174 +0300,,,2022-07-11 18:50:29.174 +0300,si_nam_177135_p,2022-07-11 18:50:29.174 +0300,si_nam_177135_p,2022-07-11 18:50:29.174 +0300,"[0bc2f5be-4456-46df-904a-ed0baf319a3d, null, xcel]"
"270d50df-70f9-4506-9a6a-b75ead5e536e",report.smartcharge.optOuts,,succeeded,2022-07-11 18:50:28.094 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-12T07:00:28.085-04:00"", ""from"": ""2022-07-11T11:50:28.064-04:00"", ""params"": {""vehicleId"": ""0bc2f5be-4456-46df-904a-ed0baf319a3d"", ""utilityCode"": ""xcel""}, ""isPlugged"": true, ""vehicleId"": ""0bc2f5be-4456-46df-904a-ed0baf319a3d"", ""vehicleVIN"": ""1G1RA6S54KU131369"", ""utilityCode"": ""xcel"", ""enrollmentId"": ""0511d43a-5392-4dd5-a658-68defeeca985"", ""chargerStatus"": ""plugged"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 18:50:28.094 +0300,2022-07-11 18:50:28.094 +0300,,,2022-07-11 18:50:28.094 +0300,si_nam_177135_p,2022-07-11 18:50:28.094 +0300,si_nam_177135_p,2022-07-11 18:50:28.094 +0300,"[0bc2f5be-4456-46df-904a-ed0baf319a3d, null, xcel]"
"70f326e8-d614-4ceb-a12c-31948619bc4e",report.smartcharge.optOuts,,succeeded,2022-07-11 18:44:59.466 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-12T10:00:59.458-04:00"", ""from"": ""2022-07-11T11:44:59.444-04:00"", ""params"": {""vehicleId"": ""5ad8b820-a434-4b2e-b312-0ec74bcb15bd"", ""utilityCode"": ""xcel""}, ""isPlugged"": true, ""vehicleId"": ""5ad8b820-a434-4b2e-b312-0ec74bcb15bd"", ""vehicleVIN"": ""1G1FY6S0XK4143951"", ""utilityCode"": ""xcel"", ""enrollmentId"": ""47a54838-505a-4b4e-935b-6f2f8f922422"", ""chargerStatus"": ""plugged"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 18:44:59.466 +0300,2022-07-11 18:44:59.466 +0300,,,2022-07-11 18:44:59.466 +0300,si_nam_177135_p,2022-07-11 18:44:59.466 +0300,si_nam_177135_p,2022-07-11 18:44:59.466 +0300,"[5ad8b820-a434-4b2e-b312-0ec74bcb15bd, null, xcel]"
"9cf5b272-28e4-46ac-8d9c-9da63ffab973",report.smartcharge.optOuts,,succeeded,2022-07-11 17:55:40.834 +0300,2022-07-11,OPT_OUT_PLUGOUT_PLUGIN,"{""to"": ""2022-07-11T11:00:00-04:00"", ""from"": ""2022-07-11T09:00:00-04:00"", ""params"": {""vehicleId"": ""6914b4d8-1ad6-4fd0-872c-b03d0e454b33"", ""utilityCode"": ""dte""}, ""isPlugged"": true, ""vehicleId"": ""6914b4d8-1ad6-4fd0-872c-b03d0e454b33"", ""vehicleVIN"": ""1G1RB6S52JU116543"", ""utilityCode"": ""dte"", ""enrollmentId"": ""5cf3a127-82ad-4e5a-b836-a0bf010c7c7c"", ""chargerStatus"": ""plugged"", ""chargingState"": ""charging"", ""blockReasonCode"": ""OPT_OUT_PLUGOUT_PLUGIN"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 17:55:40.834 +0300,2022-07-11 17:55:40.834 +0300,,,2022-07-11 17:55:40.834 +0300,si_nam_177135_p,2022-07-11 17:55:40.834 +0300,si_nam_177135_p,2022-07-11 17:55:40.834 +0300,"[6914b4d8-1ad6-4fd0-872c-b03d0e454b33, null, dte]"
"7b67d70d-93fa-467d-bd12-0a9f07a3744d",report.smartcharge.optOuts,,succeeded,2022-07-11 16:01:11.721 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-11T11:00:00-04:00"", ""from"": ""2022-07-11T09:00:00-04:00"", ""params"": {""vehicleId"": ""e2209536-1376-4eb1-9bc2-d0488d193a09"", ""utilityCode"": ""dte""}, ""isPlugged"": false, ""vehicleId"": ""e2209536-1376-4eb1-9bc2-d0488d193a09"", ""vehicleVIN"": ""1G1RA6S52JU123589"", ""utilityCode"": ""dte"", ""enrollmentId"": ""8ab3335a-a4c5-4b41-b43d-6c3d84d49342"", ""chargerStatus"": ""unknown"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 16:01:11.721 +0300,2022-07-11 16:01:11.721 +0300,,,2022-07-11 16:01:11.721 +0300,si_nam_177135_p,2022-07-11 16:01:11.721 +0300,si_nam_177135_p,2022-07-11 16:01:11.721 +0300,"[e2209536-1376-4eb1-9bc2-d0488d193a09, null, dte]"
"1e66ee74-84ae-4830-aec2-6a67cee2810d",report.smartcharge.optOuts,,succeeded,2022-07-11 15:59:24.267 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-11T11:00:00-04:00"", ""from"": ""2022-07-11T09:00:00-04:00"", ""params"": {""vehicleId"": ""6ef1b47d-9c43-48c4-bf3d-d51b8c6fe509"", ""utilityCode"": ""dte""}, ""isPlugged"": false, ""vehicleId"": ""6ef1b47d-9c43-48c4-bf3d-d51b8c6fe509"", ""vehicleVIN"": ""1G1RA6S58JU158198"", ""utilityCode"": ""dte"", ""enrollmentId"": ""52d32ed7-b6f8-4601-95ce-3a9397843844"", ""chargerStatus"": ""unknown"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 15:59:24.267 +0300,2022-07-11 15:59:24.267 +0300,,,2022-07-11 15:59:24.267 +0300,si_nam_177135_p,2022-07-11 15:59:24.267 +0300,si_nam_177135_p,2022-07-11 15:59:24.267 +0300,"[6ef1b47d-9c43-48c4-bf3d-d51b8c6fe509, null, dte]"
"0b4e3789-f074-4d4f-9feb-c1fbb93feb7f",report.smartcharge.optOuts,,succeeded,2022-07-11 15:59:08.258 +0300,2022-07-11,PAPI_DIAG_FAIL,"{""to"": ""2022-07-11T11:00:00-04:00"", ""from"": ""2022-07-11T09:00:00-04:00"", ""params"": {""vehicleId"": ""20eee120-e0d6-4e5f-b398-8a931538050c"", ""utilityCode"": ""dte""}, ""isPlugged"": false, ""vehicleId"": ""20eee120-e0d6-4e5f-b398-8a931538050c"", ""vehicleVIN"": ""1G1FW6S08H4181144"", ""utilityCode"": ""dte"", ""enrollmentId"": ""52087de4-9942-4d56-8ba3-6298ec29a31e"", ""chargerStatus"": ""unknown"", ""chargingState"": ""unknown"", ""blockReasonCode"": ""PAPI_DIAG_FAIL"", ""vehicleLocation"": ""home""}",,,false,false,0,,2022-07-11 15:59:08.258 +0300,2022-07-11 15:59:08.258 +0300,,,2022-07-11 15:59:08.258 +0300,si_nam_177135_p,2022-07-11 15:59:08.258 +0300,si_nam_177135_p,2022-07-11 15:59:08.258 +0300,"[20eee120-e0d6-4e5f-b398-8a931538050c, null, dte]"
